Period,Customer,Product,CollectionBasisProductName,"Minimum Quantity","Unit Penalty Cost",Quantity
18,232663-1-1-101,310726_WA002_101_3035A,Set,0,10000,120.0
25,232663-1-1-102,310726_WA002_101_3035A,Set,0,10000,20.0
18,232663-1-1-103,310726_WA002_101_3035A,Set,0,10000,20.0
18,232663-1-1-104,310726_WA002_101_3035A,Set,0,10000,20.0
18,232663-1-1-105,310726_WA002_101_3035A,Set,0,10000,20.0
56,232664-1-1-101,310726_WA002_101_3035A,Set,0,10000,160.0
56,232664-1-1-102,310726_WA002_101_3035A,Set,0,10000,40.0
4,233064-1-1-101,310726_WA002_101_9999E,Set,0,10000,60.0
4,233064-1-1-102,310726_WA002_101_9999E,Set,0,10000,60.0
4,233064-1-1-103,310726_WA002_101_9999E,Set,0,10000,80.0
26,233183-1-1-101,310726_WA002_101_9999E,Set,0,10000,40.0
29,233183-1-1-102,310726_WA002_101_9999E,Set,0,10000,40.0
29,233183-1-1-103,310726_WA002_101_9999E,Set,0,10000,20.0
4,232634-1-1-103,310726_WA002_102_9999E,Set,0,10000,0.019958269
7,232800-1-2-108,310726_WA002_102_9999E,Set,0,10000,0.039916538
29,232800-1-3-109,310726_WA002_102_9999E,Set,0,10000,100.0
17,232922-1-2-103,310726_WA002_102_9999E,Set,0,10000,20.0
10,232937-1-2-102,310726_WA002_102_9999E,Set,0,10000,20.0
8,232961-1-1-101,310726_WA002_102_9999E,Set,0,10000,20.50004536
7,232089-1-3-1182066,310726_WA002-WA003_102_9999A,Set,0,10000,20.0
11,232925-1-2-102,310726_WA002-WA003_102_9999A,Set,0,10000,20.0
7,232970-1-1-101,310726_WA002-WA003_102_9999A,Set,0,10000,0.019958269
26,232970-1-3-103,310726_WA002-WA003_102_9999A,Set,0,10000,20.0
7,232128-1-5-119,310726_WA003_101_3007DRYGUM,Set,0,10000,80.0
7,232128-1-5-120,310726_WA003_101_3007DRYGUM,Set,0,10000,80.0
9,232128-1-5-121,310726_WA003_101_3007DRYGUM,Set,0,10000,100.0
18,232128-1-6-122,310726_WA003_101_3007DRYGUM,Set,0,10000,80.0
18,232128-1-6-123,310726_WA003_101_3007DRYGUM,Set,0,10000,80.0
18,232128-1-6-124,310726_WA003_101_3007DRYGUM,Set,0,10000,120.0
18,232128-1-6-125,310726_WA003_101_3007DRYGUM,Set,0,10000,120.0
7,232130-1-6-113,310726_WA003_101_3007DRYGUM,Set,0,10000,20.0
7,232130-1-6-115,310726_WA003_101_3007DRYGUM,Set,0,10000,20.0
14,232130-1-6-116,310726_WA003_101_3007DRYGUM,Set,0,10000,20.0
21,232130-1-7-117,310726_WA003_101_3007DRYGUM,Set,0,10000,20.0
21,232130-1-7-118,310726_WA003_101_3007DRYGUM,Set,0,10000,40.0
21,232130-1-7-119,310726_WA003_101_3007DRYGUM,Set,0,10000,40.0
23,232163-1-5-1181651,310726_WA003_101_3025S,Set,0,10000,100.0
56,232163-1-6-1181664,310726_WA003_101_3025S,Set,0,10000,100.0
86,232163-1-7-1181652,310726_WA003_101_3025S,Set,0,10000,100.0
117,232163-1-8-1181665,310726_WA003_101_3025S,Set,0,10000,100.0
25,232754-1-1-104,310726_WA003_101_3025S,Set,0,10000,120.0
6,232983-1-1-101,310726_WA003_101_3007FO,Set,0,10000,140.0
39,233032-1-1-101,310726_WA003_101_3025S,Set,0,10000,120.0
25,233169-1-1-101,310726_WA003_101_3002A,Set,0,10000,400.0
26,233183-1-1-104,310726_WA003_101_9999E,Set,0,10000,40.0
26,233183-1-1-105,310726_WA003_101_9999E,Set,0,10000,20.0
26,233183-1-1-106,310726_WA003_101_9999E,Set,0,10000,40.0
7,233198-1-1-103,310726_WA003_101_9999E,Set,0,10000,40.0
29,233215-1-1-101,310726_WA003_101_9999E,Set,0,10000,20.0
17,233077-1-1-101,310726_WA003_102_9999E,Set,0,10000,160.0798331
16,233077-1-1-102,310726_WA003_102_9999E,Set,0,10000,240.0
9,233115-1-1-101,310726_WA003_102_9999E,Set,0,10000,0.199582691
16,233115-1-1-102,310726_WA003_102_9999E,Set,0,10000,200.0
1,233115-1-1-103,310726_WA003_102_9999E,Set,0,10000,0.019958269
28,232948-1-1-101,310726_WA003-WA002_101_9999E,Set,0,10000,20.0
28,232948-1-1-102,310726_WA003-WA002_101_9999E,Set,0,10000,20.0
56,232948-1-2-103,310726_WA003-WA002_101_9999E,Set,0,10000,20.0
70,232948-1-2-104,310726_WA003-WA002_101_9999E,Set,0,10000,20.0
26,233064-1-2-104,310726_WA003-WA002_101_9999E,Set,0,10000,40.0
29,233064-1-2-105,310726_WA003-WA002_101_9999E,Set,0,10000,40.0
25,233170-1-1-101,310726_WA003-WA002_101_9999E,Set,0,10000,400.0
6,233186-1-1-101,310726_WA003-WA002_101_9999E,Set,0,10000,20.0
21,233186-1-1-102,310726_WA003-WA002_101_9999E,Set,0,10000,40.0
25,233226-1-1-101,310726_WA003-WA002_101_9999E,Set,0,10000,160.0
12,232381-1-1-101,310726_WA003-WA002_102_9999A,Set,0,10000,20.0
19,232381-1-2-102,310726_WA003-WA002_102_9999A,Set,0,10000,40.0
56,232381-1-3-103,310726_WA003-WA002_102_9999A,Set,0,10000,40.0
3,232947-1-1-101,310726_WA003-WA002_102_9999A,Set,0,10000,40.0
9,232951-1-1-104,310726_WA003-WA002_102_9999E,Set,0,10000,0.039916538
28,233118-1-1-101,310726_WA003-WA002_102_9999A,Set,0,10000,60.0
70,233118-1-2-102,310726_WA003-WA002_102_9999A,Set,0,10000,60.0
